The seed number is set to 789
loop_count=36800/100000, max_score=91.7169, min_score=87.8897, time=1.69501h
loop_count=36900/100000, max_score=91.7169, min_score=87.9092, time=1.69944h
loop_count=37000/100000, max_score=91.7169, min_score=87.944, time=1.70455h
loop_count=37100/100000, max_score=91.7169, min_score=87.9915, time=1.70935h
loop_count=37200/100000, max_score=91.7169, min_score=88.0244, time=1.71411h
loop_count=37300/100000, max_score=91.7169, min_score=88.0579, time=1.71861h
loop_count=37400/100000, max_score=91.7169, min_score=88.0781, time=1.72321h
loop_count=37500/100000, max_score=91.7169, min_score=88.1088, time=1.72785h
loop_count=37600/100000, max_score=91.7169, min_score=88.1468, time=1.73263h
loop_count=37700/100000, max_score=91.7169, min_score=88.1851, time=1.73733h
loop_count=37800/100000, max_score=92.18, min_score=88.2077, time=1.7419h
